address,lat,long
24 SOUTH STREET,40.7026089,-74.0099001
4 SOUTH STREET,40.7003689,-74.0129112
1 PIER 6,40.7011707,-74.0092435
10 BATTERY PARK,40.7028059,-74.015631
SOUTH STREET,40.7012553,-74.0139392
34 WHITEHALL STREET,40.7027595,-74.0133011
7 STATE STREET,40.7026085,-74.0136798
8 STONE STREET,40.7038411,-74.0122987
18 BEAVER STREET,40.7048182,-74.0123855
88 BROAD STREET,40.7041046,-74.0118624
50 BATTERY PLACE,40.7066674,-74.0181639
55 BATTERY PLACE,40.7063711,-74.0174533
MARGINAL STREET,40.7128899,-74.0171448
200 RECTOR PLACE,40.708471,-74.0164006
2 SOUTH END AVENUE,40.7079219,-74.0172445
225 RECTOR PLACE,40.7095003,-74.0159464
50 WEST STREET,40.7077603,-74.0149938
33 RECTOR STREET,40.7083065,-74.0149542
13 RECTOR STREET,40.7078757,-74.0140885
65 GREENWICH STREET,40.7071154,-74.013706
42 TRINITY PLACE,40.7073542,-74.0135798
47 BROADWAY,40.7066681,-74.0131685
55 BROADWAY,40.7068548,-74.0130242
65 BROADWAY,40.7073269,-74.0126636
32 BROADWAY,40.7057953,-74.0127463
42 BROADWAY,40.7059875,-74.0125949
20 BROAD STREET,40.7066134,-74.0114624
30 BROAD STREET,40.706273,-74.0116535
43 BROAD STREET,40.7055402,-74.0109717
15 BROAD STREET,40.7065311,-74.0105896
75 PEARL STREET,40.703995,-74.0105748
77 PEARL STREET,40.7040416,-74.0104954
15 SOUTH WILLIAM STREET,40.7044835,-74.0103981
19 SOUTH WILLIAM STREET,40.7044149,-74.0105171
7 HANOVER SQUARE,40.7040554,-74.0096587
126 PEARL STREET,40.7048076,-74.0085948
90 WATER STREET,40.7046731,-74.0084577
43 WATER STREET,40.7031826,-74.0091536
180 MAIDEN LANE,40.7052689,-74.0055147
60 WALL STREET,40.7062404,-74.0085048
52 WILLIAM STREET,40.7067097,-74.008916
100 MAIDEN LANE,40.706718,-74.0072208
30 WALL STREET,40.7070966,-74.0100991
2 WALL STREET,40.7077305,-74.0113256
111 BROADWAY,40.7087131,-74.0116395
101 GREENWICH STREET,40.7080871,-74.0131688
68 TRINITY PLACE,40.7084083,-74.0129813
103 WASHINGTON STREET,40.7083725,-74.0140814
96 GREENWICH STREET,40.7082133,-74.013782
94A GREENWICH STREET,40.7081639,-74.0138036
123 WASHINGTON STREET,40.7091603,-74.0137136
130 GREENWICH STREET,40.7096159,-74.0133891
130 LIBERTY STREET,40.7101567,-74.0132161
1 LIBERTY PLAZA,40.7097535,-74.0108426
10 CORTLANDT STREET,40.7102338,-74.0103269
22 CORTLANDT STREET,40.7104644,-74.0105
21 DEY STREET,40.7105961,-74.0107778
179 BROADWAY,40.710179,-74.0100419
175 BROADWAY,40.7100582,-74.0101429
55 NASSAU STREET,40.7090619,-74.0090534
49 NASSAU STREET,40.7089521,-74.0092446
LIBERTY PLACE,40.7090152,-74.0093131
67 LIBERTY STREET,40.7090646,-74.0098217
21 MAIDEN LANE,40.709405,-74.0089489
15 MAIDEN LANE,40.7095889,-74.0090427
20 JOHN STREET,40.7097042,-74.0089453
24 JOHN STREET,40.7095835,-74.008783
2 GOLD STREET,40.7074097,-74.0069324
90 JOHN STREET,40.7079093,-74.0064996
SOUTH STREET,40.7062407,-74.0012299
MARGINAL STREET,40.7079836,-73.9991163
251 PEARL STREET,40.7077941,-74.0050136
248 PEARL STREET,40.7078435,-74.0052696
46 FULTON STREET,40.7081317,-74.0047611
56 FULTON STREET,40.7085242,-74.0051687
40 GOLD STREET,40.7087245,-74.0057422
70 FULTON STREET,40.7088782,-74.0055475
15 CLIFF STREET,40.7083732,-74.005634
99 JOHN STREET,40.7082716,-74.0060199
82 FULTON STREET,40.7089112,-74.0060128
130 WILLIAM STREET,40.7091115,-74.0063446
86A NASSAU STREET,40.7099733,-74.0078019
90 NASSAU STREET,40.7100666,-74.0077082
110 FULTON STREET,40.7096879,-74.0071238
85 NASSAU STREET,40.710127,-74.0081626
83 NASSAU STREET,40.7100693,-74.0082167
79 NASSAU STREET,40.7099842,-74.0082925
17 JOHN STREET,40.7100199,-74.0086676
15 JOHN STREET,40.7101104,-74.0088155
140 FULTON STREET,40.7103026,-74.0084224
138 FULTON STREET,40.7102642,-74.0083466
71 NASSAU STREET,40.7097536,-74.0085053
90 CHURCH STREET,40.7127343,-74.0106411
18 VESEY STREET,40.7119878,-74.0093749
22 BARCLAY STREET,40.7123638,-74.0095553
141 FULTON STREET,40.7105277,-74.0079174
222 BROADWAY,40.7108708,-74.00839
5 BEEKMAN STREET,40.7111453,-74.0069616
42 ANN STREET,40.7102533,-74.0072393
19 BEEKMAN STREET,40.7107501,-74.0063195
169 WILLIAM STREET,40.710451,-74.0059696
1 LIBERTY ISLAND,40.6899196,-74.0453371
PETER MINUIT PLAZA,40.7017796,-74.0136328
125 BROAD STREET,40.7022658,-74.0106069
30 WATER STREET,40.7032895,-74.0110219
26 WATER STREET,40.7032456,-74.0111445
24 WATER STREET,40.7032044,-74.0112274
1 COENTIES SLIP,40.7034268,-74.0107802
32 PEARL STREET,40.7031192,-74.0122986
6 WATER STREET,40.702971,-74.0122336
24 STATE STREET,40.7033469,-74.0137305
100 BROAD STREET,40.7034651,-74.0121399
33 WHITEHALL STREET,40.7033827,-74.0126809
90 BROAD STREET,40.7038054,-74.0119525
25 BRIDGE STREET,40.7037231,-74.0123744
16 BEAVER STREET,40.7048237,-74.0125009
26 BEAVER STREET,40.7048128,-74.0119887
70 BROAD STREET,40.70481,-74.0117651
74 BROAD STREET,40.7046454,-74.0118264
80 BROAD STREET,40.7043105,-74.0118516
1 BROADWAY,40.7049497,-74.0144557
